InvoiceID,Customer,Amount,Category,Status,Date,Email,Phone
INV-1001,Northwind Medical,"$1,250.00",Medical Supplies,Paid,2026-05-01,hvgdunkley@gmail.com,(555) 709-4205
INV-1002,Green Valley Clinic,"$3,200.50",Consulting,Pending,2026-05-02,greenvalleyclinic@example.com,(555) 269-0197
INV-1003,Sunrise Dental,$875.25,Software,Paid,2026-05-03,sunrisedental@example.com,(555) 888-0891
INV-1004,Metro Health Partners,"$4,520.00",Equipment,Overdue,2026-05-04,hvgdunkley@gmail.com,(555) 891-3434
INV-1005,Lakeside Pediatrics,$199.99,Subscriptions,Paid,2026-05-05,lakesidepediatrics@example.com,(555) 337-2227
INV-1006,Buffalo Rehab Center,"$2,200.00",Insurance Services,Pending,2026-05-06,buffalorehabcenter@example.com,(555) 531-5677
INV-1007,Westside Family Care,$980.40,Medical Supplies,Overdue,2026-05-07,westsidefamilycare@example.com,(555) 490-4484
INV-1008,Elmwood Diagnostics,"$6,100.00",Consulting,Paid,2026-05-08,elmwooddiagnostics@example.com,(555) 361-6194
INV-1009,Northern Lights Optics,"$5,861.94",Medical Supplies,Overdue,2026-05-09,northernlightsoptics@example.com,(555) 675-7836
INV-1010,Central Lab Services,"$7,366.21",Software,Overdue,2026-05-10,centrallabservices@example.com,(555) 257-1470
INV-1011,South Shore Orthopedics,"$3,460.60",Insurance Services,Overdue,2026-05-11,southshoreorthopedics@example.com,(555) 126-2111
INV-1012,Northern Lights Optics,"$2,872.08",Consulting,Pending,2026-05-12,northernlightsoptics@example.com,(555) 452-8369
INV-1013,City Medical Group,"$6,522.96",Medical Supplies,Pending,2026-05-13,citymedicalgroup@example.com,(555) 785-9301
INV-1014,Northern Lights Optics,"$5,121.79",Equipment,Pending,2026-05-14,northernlightsoptics@example.com,(555) 980-6312
INV-1015,South Shore Orthopedics,"$7,033.74",Medical Supplies,Overdue,2026-05-15,southshoreorthopedics@example.com,(555) 106-2861
INV-1016,Riverbend Specialists,"$8,561.42",Software,Pending,2026-05-16,riverbendspecialists@example.com,(555) 971-2380
